vacancy_name,experience,lvl,views,applications,part_of_url,technologies
backend developer,3,middle/senior,5,2,https://djinni.co/jobs/513158-backend-python-developer/,"['jira', 'python', 'api', 'mongodb', 'pytest', 'flask']"
developer,3,middle/senior,60,16,https://djinni.co/jobs/402198-middle-senior-python-developer/,"['python', 'rest', 'css', 'django', 'react', 'javascript', 'flask']"
engineer ml,3,middle/senior,12,2,https://djinni.co/jobs/421155-starshii-ml-inzhener-senior-ml-engineer-mlops/,"['aws', 'python', 'linux', 'git', 'redis', 'docker']"
developer fullstack,3,middle/senior,51,16,https://djinni.co/jobs/513148-full-stack-python-django-developer/,"['devops', 'python', 'fullstack', 'rest', 'html', 'css', 'django', 'react', 'ux', 'orm', 'javascript']"
developer,3,middle/senior,29,2,https://djinni.co/jobs/513094-middle-python-developer/,"['postgresql', 'aws', 'python', 'jira', 'django', 'git', 'docker']"
engineer,3,middle/senior,11,0,https://djinni.co/jobs/513080-firmware-python-verification-engineer/,"['networking', 'linux', 'python']"
developer fullstack,3,middle/senior,12,4,https://djinni.co/jobs/513062-fullstack-developer-python-vue-/,"['django', 'docker', 'python']"
developer,3,middle/senior,19,0,https://djinni.co/jobs/513075-python-developer/,"['redis', 'terraform', 'javascript', 'python']"
developer,3,middle/senior,24,2,https://djinni.co/jobs/513060-python-developer/,"['postgresql', 'aws', 'python', 'jira', 'django', 'git', 'docker']"
developer,3,middle/senior,8,0,https://djinni.co/jobs/462392-senior-game-mathematician-python-/,"['algorithms', 'python']"
developer,3,middle/senior,5,0,https://djinni.co/jobs/196498-senior-python-developer/,"['nosql', 'aws', 'python', 'django', 'microservice', 'git', 'orm', 'javascript', 'flask', 'sql']"
developer,3,middle/senior,23,3,https://djinni.co/jobs/246801-python-developer/,"['docker', 'pytest', 'python', 'aws']"
developer,3,middle/senior,67,19,https://djinni.co/jobs/504551-python-reactjs-mysql-microservices/,"['microservice', 'python']"
developer,3,middle/senior,21,0,https://djinni.co/jobs/512706-strong-middle-python-developer/,"['devops', 'aws', 'python', 'rest', 'redis', 'javascript', 'terraform']"
developer,3,middle/senior,70,20,https://djinni.co/jobs/404528-python-developer/,"['aws', 'python', 'redis', 'javascript', 'terraform']"
engineer,3,middle/senior,99,48,https://djinni.co/jobs/512660-python-django-engineer/,"['devops', 'postgresql', 'python', 'rest', 'api', 'django', 'react', 'ai', 'sql']"
engineer software,3,middle/senior,28,5,https://djinni.co/jobs/512499-python-software-engineer/,"['devops', 'python', 'rest', 'api', 'django', 'fastapi']"
engineer,3,middle/senior,44,11,https://djinni.co/jobs/423193-python-engineer/,"['python', 'rest', 'api', 'linux', 'git', 'docker', 'bash']"
developer fullstack,3,middle/senior,25,12,https://djinni.co/jobs/512449-senior-fullstack-developer-vue-python-/,"['django', 'python']"
developer,3,middle/senior,22,3,https://djinni.co/jobs/512415-middle-senior-python-developer/,"['postgresql', 'python', 'rest', 'elasticsearch', 'django', 'git', 'redis', 'drf', 'js']"
engineer software,3,middle/senior,43,5,https://djinni.co/jobs/406398-software-engineer-python-/,"['python', 'elasticsearch', 'tensorflow', 'git', 'pandas', 'redis', 'docker']"
backend developer,3,middle/senior,78,12,https://djinni.co/jobs/469579-python-back-end-developer-product-/,"['aws', 'oop', 'python', 'api', 'redis', 'orm', 'docker']"
engineer,3,middle/senior,36,9,https://djinni.co/jobs/502350-deep-learning-engineer/,"['python', 'api', 'tensorflow', 'pytorch', 'algorithms', 'ai']"
developer,3,middle/senior,41,1,https://djinni.co/jobs/512274-senior-python-developer/,"['aws', 'python', 'api', 'redis', 'orm', 'flask', 'fastapi']"
developer,3,middle/senior,17,2,https://djinni.co/jobs/512048-senior-python-and-golang-developer/,"['json', 'postgresql', 'python', 'fullstack', 'rest', 'api', 'django', 'elasticsearch', 'redis']"
developer,3,middle/senior,24,1,https://djinni.co/jobs/158518-python-developer/,"['sqlalchemy', 'postgresql', 'aws', 'python', 'oop', 'rest', 'html', 'linux', 'css', 'django', 'git', 'javascript', 'docker', 'flask']"
developer,3,middle/senior,11,1,https://djinni.co/jobs/512145-senior-python-developer-for-our-product-edu-/,"['nosql', 'postgresql', 'aws', 'python', 'elasticsearch', 'linux', 'django', 'redis', 'drf', 'docker', 'fastapi']"
backend developer,3,middle/senior,35,4,https://djinni.co/jobs/504892-python-backend-developer/,"['aws', 'python', 'oop', 'api', 'redis', 'orm', 'docker']"
backend developer,3,middle/senior,60,7,https://djinni.co/jobs/512031-back-end-python-developer/,"['networking', 'python']"
engineer,3,middle/senior,19,1,https://djinni.co/jobs/511886-senior-computer-vision-engineer/,"['keras', 'python', 'linux', 'pytorch', 'tensorflow', 'algorithms', 'numpy', 'pandas', 'ai']"
developer,3,middle/senior,41,6,https://djinni.co/jobs/511873-middle-senior-python-developer-with-odoo-/,"['postgresql', 'python', 'fullstack', 'css', 'html', 'api', 'git', 'js', 'docker', 'bash', 'flask']"
engineer,3,middle/senior,38,2,https://djinni.co/jobs/511852-solution-engineer/,"['api', 'python', 'sql']"
backend developer,3,middle/senior,74,9,https://djinni.co/jobs/511806-python-backend-developer/,"['aws', 'python', 'oop', 'api', 'redis', 'orm', 'docker']"
engineer ml,3,middle/senior,31,3,https://djinni.co/jobs/503731-middle-python-ml-engineer/,"['elasticsearch', 'mongodb', 'sql']"
developer,3,middle/senior,34,4,https://djinni.co/jobs/450660-middle-python-developer-on-regular-basis-/,"['aws', 'oop', 'python', 'rest', 'api', 'mongodb', 'django', 'git', 'pytest', 'redis', 'javascript', 'docker', 'flask', 'sql']"
